sku_id,date,actual,lgbm_forecast,lgbm_lower,lgbm_upper
SKU_0001,2024-12-01,221.0,222.48161057017782,205.7105953129022,223.1772247015318
SKU_0001,2024-12-08,267.0,266.0180051991855,261.89432376140456,267.2936504329393
SKU_0001,2024-12-15,232.0,234.14227532000683,225.13571590595686,236.71837767869098
SKU_0001,2024-12-22,256.0,253.941178343094,251.19474064913493,254.95661670901058
SKU_0001,2024-12-29,257.0,256.92880197287485,252.00852830069067,263.3671617000045
SKU_0001,2025-01-05,57.0,161.78216633675677,63.68952996376357,191.4702857792875
SKU_0002,2024-12-01,338.0,329.8856940707992,293.6554165506189,329.6327104858411
SKU_0002,2024-12-08,305.0,296.3349934499205,275.13904361819857,300.4038376336638
SKU_0002,2024-12-15,317.0,315.00215754310284,286.8988434950317,319.32604239140903
SKU_0002,2024-12-22,317.0,314.37376410664996,287.8420931669787,316.6176671126678
SKU_0002,2024-12-29,301.0,305.49730831096775,280.63138556881097,306.4348272870134
SKU_0002,2025-01-05,86.0,198.47193829387842,97.90343743624727,213.25115844084172
SKU_0003,2024-12-01,235.0,235.1530544236115,228.6560010818001,238.2440273425008
SKU_0003,2024-12-08,263.0,265.4072478966706,252.56835645696046,264.03838256734747
SKU_0003,2024-12-15,223.0,218.12181052693592,213.5713286346166,223.98397762855848
SKU_0003,2024-12-22,250.0,251.0619534577644,250.8819637115026,252.41553862159506
SKU_0003,2024-12-29,209.0,213.29811803241378,217.30947072520863,216.35075979802087
SKU_0003,2025-01-05,42.0,136.0569464832457,48.597381382170525,177.59324827158082
SKU_0004,2024-12-01,262.0,265.21508019092823,244.22377768392028,266.95490512550197
SKU_0004,2024-12-08,293.0,289.85981853185433,283.5206091202021,291.64215954184095
SKU_0004,2024-12-15,258.0,258.0412752305963,258.24634746537157,265.89107125365035
SKU_0004,2024-12-22,314.0,313.35128849864606,288.2528824874228,318.92306245010684
SKU_0004,2024-12-29,314.0,312.3091939698137,287.464276032977,314.06957340883605
SKU_0004,2025-01-05,79.0,198.76352201109458,90.02583696620009,217.7480416098619
SKU_0005,2024-12-01,138.0,140.64680973186665,132.27362651079878,141.07694432911987
SKU_0005,2024-12-08,121.0,120.72079575821438,103.87764310170918,127.01071542864084
SKU_0005,2024-12-15,144.0,142.21486906987687,130.13790327480217,145.6723619186034
SKU_0005,2024-12-22,148.0,150.7990598488871,140.94684560624253,147.58807159551827
SKU_0005,2024-12-29,146.0,143.59300284283555,126.02888407823652,147.44415077544556
SKU_0005,2025-01-05,38.0,92.59112395787982,40.91366161875808,110.58184308336624
SKU_0006,2024-12-01,233.0,237.87951287944085,234.3586546077005,248.24714762552716
SKU_0006,2024-12-08,279.0,280.0120069564359,266.06312408072284,280.97328648127564
SKU_0006,2024-12-15,265.0,264.6454069101081,250.46990226748426,266.78531091856877
SKU_0006,2024-12-22,284.0,283.4891942007813,266.65070546827434,284.8571017315703
SKU_0006,2024-12-29,306.0,304.04758318143274,287.791002454482,309.6996084561468
SKU_0006,2025-01-05,63.0,186.40122730307075,71.30767579187516,209.7705866470536
SKU_0007,2024-12-01,19.0,19.463890351336335,19.671007330396865,20.066456677124755
SKU_0007,2024-12-08,22.0,22.359726273848924,21.90310783066925,21.90721245673104
SKU_0007,2024-12-15,24.0,23.114561459844513,23.94073337754727,23.748465914347957
SKU_0007,2024-12-22,23.0,22.52008388263673,21.730798159611545,22.993428198135447
SKU_0007,2024-12-29,25.0,25.200222996539022,24.435341131185815,25.552676252540348
SKU_0007,2025-01-05,6.0,14.288313745281124,16.146813177364265,21.175127757222874
SKU_0008,2024-12-01,232.0,231.03964836097725,221.7573624437638,236.44815413513794
SKU_0008,2024-12-08,211.0,209.14510221765642,185.97940225333645,213.94750948197589
SKU_0008,2024-12-15,248.0,246.75591461252864,244.02040026500487,248.61989231023628
SKU_0008,2024-12-22,219.0,221.2485846791227,214.6954380926404,219.68403602955576
SKU_0008,2024-12-29,234.0,230.303705771899,230.31445749207586,233.41918185379254
SKU_0008,2025-01-05,49.0,143.1816865195702,54.841846974349906,179.5180827820665
SKU_0009,2024-12-01,230.0,229.27394934465534,230.17402921537217,229.8636001193046
SKU_0009,2024-12-08,314.0,307.03718160657405,285.23027194740365,311.9633271150452
SKU_0009,2024-12-15,282.0,276.4841568228893,256.3188318077209,281.20461711975196
SKU_0009,2024-12-22,278.0,284.674001088094,259.7990263055903,283.26178475935916
SKU_0009,2024-12-29,296.0,300.54313806009225,289.7142062781549,314.19937052467037
SKU_0009,2025-01-05,74.0,185.99815768795455,84.17895792620025,208.35826577773733
SKU_0010,2024-12-01,28.0,30.368704633152085,28.620156036385737,33.14347938734746
SKU_0010,2024-12-08,32.0,32.71107827826767,32.86488121700159,32.973882725381365
SKU_0010,2024-12-15,38.0,36.63323030250156,37.253666676030186,37.5930990666438
SKU_0010,2024-12-22,33.0,32.33460619930293,29.183555203340692,32.836141451401446
SKU_0010,2024-12-29,33.0,30.970713719616327,30.5616462948592,33.726093634344814
SKU_0010,2025-01-05,7.0,17.882100584656584,17.6878018648844,30.173285204741333
SKU_0011,2024-12-01,44.0,45.73248180707259,42.14057164076551,46.61491987271262
SKU_0011,2024-12-08,60.0,61.27730060445524,57.47223156099979,59.939696849664465
SKU_0011,2024-12-15,64.0,64.12740800923275,58.35185710585281,64.79434027821704
SKU_0011,2024-12-22,58.0,58.2831682191269,46.14796646599542,59.17868388983894
SKU_0011,2024-12-29,51.0,53.4107699412109,50.79887940376945,53.490983987388994
SKU_0011,2025-01-05,13.0,37.011120395717555,18.311876051161075,49.18664682369327
SKU_0012,2024-12-01,20.0,19.64770252203912,19.194108947297877,19.788216806569647
SKU_0012,2024-12-08,20.0,19.520522742465445,19.50027545485222,20.383305964949177
SKU_0012,2024-12-15,18.0,17.373617037250884,16.73715530894749,18.246007825640557
SKU_0012,2024-12-22,18.0,17.79489789442227,17.65594116501189,19.110996844874485
SKU_0012,2024-12-29,18.0,18.0263803912785,18.075622859948886,19.82580241981398
SKU_0012,2025-01-05,6.0,9.815606975141751,11.099782027433083,15.460313622686996
SKU_0013,2024-12-01,147.0,150.07568041946186,148.80844224188968,153.717806101309
SKU_0013,2024-12-08,156.0,156.12702768333696,152.89001625985875,157.28849657150005
SKU_0013,2024-12-15,170.0,168.80889818449108,155.39122256237889,171.0731855601991
SKU_0013,2024-12-22,187.0,187.10805851692933,178.11299095100767,188.71143783974932
SKU_0013,2024-12-29,159.0,155.269897522533,154.71768476984306,161.41056478221577
SKU_0013,2025-01-05,59.0,109.72955441154778,64.00357123972381,136.42500643494552
SKU_0014,2024-12-01,153.0,163.34234503762733,150.34143155426892,171.85942107955321
SKU_0014,2024-12-08,185.0,181.67533485165254,176.49325666393443,184.67012088895555
SKU_0014,2024-12-15,163.0,163.54429335009547,157.9095978888325,163.50871311343926
SKU_0014,2024-12-22,165.0,165.5601697831076,158.52869402186053,170.5530561189247
SKU_0014,2024-12-29,207.0,206.80317379260566,196.1120791586928,207.58205745916595
SKU_0014,2025-01-05,50.0,131.8985061528155,55.0903621985979,154.22359156566188
