sku_id,date,units_sold,revenue,unit_price,promo_flag,is_holiday,promo_event,season,category,subcategory,list_price,unit_cost,on_hand_units,on_order_units,lead_time_days,reorder_point,day_of_week,week_of_year,month_num,quarter,year,is_weekend,month_sin,month_cos,week_sin,week_cos,dow_sin,dow_cos,season_Autumn,season_Spring,season_Summer,season_Winter,has_promo_event,lag_1w,lag_2w,lag_4w,lag_6w,lag_8w,rolling_mean_4w,rolling_std_4w,rolling_median_4w,rolling_min_4w,rolling_max_4w,rolling_mean_8w,rolling_std_8w,rolling_median_8w,rolling_min_8w,rolling_max_8w,rolling_mean_12w,rolling_std_12w,rolling_median_12w,rolling_min_12w,rolling_max_12w,price_ratio,discount_pct,margin,margin_pct,price_change,category_avg_demand,subcategory_avg_demand,demand_growth,demand_acceleration,cumulative_demand
SKU_0001,2023-05-14,192.0,1134574.35,5954.744285714286,1,0,,Spring,Furnishings,Sofas,6085.14,4003.06,147,0,14.0,94,6,19,5,2,2023,1,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,215.0,214.0,235.0,201.0,257.0,209.75,11.954775893619525,214.5,192.0,218.0,216.75,20.47821141743447,214.5,192.0,256.0,221.22222222222223,23.386843404881404,215.0,192.0,257.0,0.9785714520478224,2.1428547952177635,1951.684285714286,32.775282901676725,-0.021428547952177635,148.375,169.1,-0.10697674418604652,-0.11164964138230826,1991.0
SKU_0001,2023-05-21,199.0,1210942.86,6085.14,0,0,,Spring,Furnishings,Sofas,6085.14,4003.06,115,0,14.0,94,6,20,5,2,2023,1,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,192.0,215.0,218.0,203.0,256.0,205.0,11.343133018115697,206.5,192.0,215.0,209.625,13.64799828336955,208.5,192.0,235.0,219.0,23.142073276946387,214.5,192.0,257.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.021897785703164363,152.21875,173.8,0.03645833333333326,0.14343507751937978,2190.0
SKU_0001,2023-05-28,208.0,1188123.59,5824.348571428572,1,0,,Spring,Furnishings,Sofas,6085.14,4003.06,111,0,14.0,94,6,21,5,2,2023,1,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,199.0,192.0,214.0,235.0,201.0,203.5,10.082988974836109,203.5,192.0,215.0,210.5,13.23415494630685,211.0,192.0,235.0,218.0,22.20360331117453,214.0,192.0,257.0,0.9571429040956447,4.285709590435527,1821.2885714285717,31.27025364455228,-0.04285709590435527,150.0,175.1,0.045226130653266416,0.008767797319933157,2398.0
SKU_0001,2023-06-04,196.0,1162261.74,6085.14,0,0,,Spring,Furnishings,Sofas,6085.14,4003.06,100,0,14.0,94,6,22,6,2,2023,1,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,208.0,199.0,215.0,218.0,203.0,198.75,6.800735254367708,197.5,192.0,208.0,209.625,14.009563060383366,211.0,192.0,235.0,216.16666666666666,22.10237886552378,211.0,192.0,257.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.04477606815133717,137.27272727272728,152.4,-0.05769230769230771,-0.10291843834557413,2594.0
SKU_0001,2023-06-11,177.0,1077069.78,6085.14,0,0,,Summer,Furnishings,Sofas,6085.14,4003.06,125,0,14.0,94,6,23,6,2,2023,1,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,196.0,208.0,192.0,214.0,235.0,195.0,13.03840481040529,197.5,177.0,208.0,202.375,14.009563060383384,203.5,177.0,218.0,209.5,20.685963620510687,205.5,177.0,256.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.0,127.71428571428571,150.4,-0.09693877551020413,-0.039246467817896424,2771.0
SKU_0001,2023-06-18,157.0,955366.98,6085.14,0,0,,Summer,Furnishings,Sofas,6085.14,4003.06,112,0,14.0,94,6,24,6,2,2023,1,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,177.0,196.0,199.0,215.0,218.0,184.5,22.33830790368867,186.5,157.0,208.0,194.75,19.724893626365404,197.5,157.0,215.0,201.25,20.19056935574358,202.0,157.0,235.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.0,121.16216216216216,141.8,-0.11299435028248583,-0.0160555747722817,2928.0
SKU_0001,2023-06-25,186.0,1099889.06,5954.744285714286,1,0,,Summer,Furnishings,Sofas,6085.14,4003.06,103,0,14.0,94,6,25,6,2,2023,1,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,157.0,177.0,208.0,192.0,214.0,179.0,16.593171286204846,181.5,157.0,196.0,191.25,18.250244616755985,194.0,157.0,215.0,200.0,20.6661779023338,201.0,157.0,235.0,0.9785714520478224,2.1428547952177635,1951.684285714286,32.775282901676725,-0.021428547952177635,122.57894736842105,153.0,0.1847133757961783,0.29770772607866414,3114.0
SKU_0001,2023-07-02,172.0,989139.5,5824.348571428572,1,0,,Summer,Furnishings,Sofas,6085.14,4003.06,101,0,14.0,94,6,26,7,3,2023,1,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,186.0,157.0,196.0,199.0,215.0,173.0,12.13809430402207,174.5,157.0,186.0,185.875,16.504869411349997,189.0,157.0,208.0,197.41666666666666,22.14193197341082,197.5,157.0,235.0,0.9571429040956447,4.285709590435527,1821.2885714285717,31.27025364455228,-0.021897785703164474,122.26315789473684,144.2,-0.07526881720430112,-0.2599821930004794,3286.0
SKU_0001,2023-07-09,150.0,912771.0,6085.14,0,0,,Summer,Furnishings,Sofas,6085.14,4003.06,100,0,14.0,94,6,27,7,3,2023,1,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,172.0,186.0,177.0,208.0,192.0,166.25,16.04940289647353,164.5,150.0,186.0,180.625,20.479519386101742,181.5,150.0,208.0,190.33333333333334,22.616700721262426,194.0,150.0,218.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.04477606815133717,106.13157894736842,134.2,-0.12790697674418605,-0.05263815953988493,3436.0
SKU_0001,2023-07-16,147.0,894515.5800000001,6085.14,0,0,Prime Day Sale,Summer,Furnishings,Sofas,6085.14,4003.06,72,71,14.0,94,6,28,7,3,2023,1,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,-0.7818314824680299,0.6234898018587334,0,0,1,0,1,150.0,172.0,157.0,196.0,199.0,163.75,18.553975315279462,161.0,147.0,186.0,174.125,22.009332436167107,174.5,147.0,208.0,184.41666666666666,23.967623363549645,189.0,147.0,215.0,1.0,0.0,2082.0800000000004,34.21581097558972,0.0,103.1842105263158,122.8,-0.020000000000000018,0.10790697674418603,3583.0
